Sequence,Time,File,RangeOffset,RangeLength,Text,Language,Type
70,276514,"exercises/easy/ex2-type-checker.js",211,0,"\n  ",javascript,content
71,276514,"exercises/easy/ex2-type-checker.js",209,2,"",javascript,content
72,278895,"exercises/easy/ex2-type-checker.js",210,2,"",javascript,content
72,278895,"exercises/easy/ex2-type-checker.js",210,2,"",javascript,content
73,278896,"exercises/easy/ex2-type-checker.js",208,0,"  ",javascript,content
74,279589,"exercises/easy/ex2-type-checker.js",208,2,"",javascript,content
74,279589,"exercises/easy/ex2-type-checker.js",208,2,"",javascript,content
75,279589,"exercises/easy/ex2-type-checker.js",207,0,"  ",javascript,content
76,280309,"exercises/easy/ex2-type-checker.js",211,0,"  ",javascript,content
76,280309,"exercises/easy/ex2-type-checker.js",211,0,"  ",javascript,content
77,280310,"exercises/easy/ex2-type-checker.js",207,2,"",javascript,content
78,284000,"exercises/easy/ex2-type-checker.js",209,2,"",javascript,content
78,284000,"exercises/easy/ex2-type-checker.js",209,2,"",javascript,content
79,284000,"exercises/easy/ex2-type-checker.js",207,0,"  ",javascript,content
80,285471,"exercises/easy/ex2-type-checker.js",210,0,"  ",javascript,content
80,285471,"exercises/easy/ex2-type-checker.js",210,0,"  ",javascript,content
81,285471,"exercises/easy/ex2-type-checker.js",207,2,"",javascript,content
82,286403,"exercises/easy/ex2-type-checker.js",210,0,"c",javascript,content
83,287154,"exercises/easy/ex2-type-checker.js",211,0,"o",javascript,content
84,287574,"exercises/easy/ex2-type-checker.js",211,1,"",javascript,content
85,287761,"exercises/easy/ex2-type-checker.js",210,1,"",javascript,content
86,288141,"exercises/easy/ex2-type-checker.js",210,0,"c",javascript,content
87,288222,"exercises/easy/ex2-type-checker.js",211,0,"o",javascript,content
88,288407,"exercises/easy/ex2-type-checker.js",212,0,"n",javascript,content
89,288591,"exercises/easy/ex2-type-checker.js",213,0,"s",javascript,content
90,289066,"exercises/easy/ex2-type-checker.js",214,0,"t",javascript,content
91,290094,"exercises/easy/ex2-type-checker.js",214,1,"",javascript,content
92,290491,"exercises/easy/ex2-type-checker.js",213,1,"",javascript,content
93,290663,"exercises/easy/ex2-type-checker.js",212,1,"",javascript,content
94,290850,"exercises/easy/ex2-type-checker.js",211,1,"",javascript,content
95,291225,"exercises/easy/ex2-type-checker.js",210,1,"",javascript,content
96,316544,"exercises/easy/ex2-type-checker.js",210,0,"c",javascript,content
97,316631,"exercises/easy/ex2-type-checker.js",211,0,"o",javascript,content
98,316840,"exercises/easy/ex2-type-checker.js",212,0,"n",javascript,content
99,316975,"exercises/easy/ex2-type-checker.js",213,0,"s",javascript,content
100,317307,"exercises/easy/ex2-type-checker.js",214,0,"t",javascript,content
101,318244,"exercises/easy/ex2-type-checker.js",215,0," ",javascript,content
102,323860,"exercises/easy/ex2-type-checker.js",216,0,"o",javascript,content
103,324105,"exercises/easy/ex2-type-checker.js",217,0,"u",javascript,content
104,324591,"exercises/easy/ex2-type-checker.js",217,1,"",javascript,content
105,324740,"exercises/easy/ex2-type-checker.js",216,1,"",javascript,content
106,325022,"exercises/easy/ex2-type-checker.js",216,0,"t",javascript,content
107,325509,"exercises/easy/ex2-type-checker.js",217,0,"y",javascript,content
108,325726,"exercises/easy/ex2-type-checker.js",218,0,"p",javascript,content
109,326029,"exercises/easy/ex2-type-checker.js",219,0,"e",javascript,content
110,326111,"exercises/easy/ex2-type-checker.js",220,0,"s",javascript,content
111,326563,"exercises/easy/ex2-type-checker.js",221,0," ",javascript,content
112,326856,"exercises/easy/ex2-type-checker.js",222,0,"=",javascript,content
113,327027,"exercises/easy/ex2-type-checker.js",223,0," ",javascript,content
114,328188,"exercises/easy/ex2-type-checker.js",224,0,"{}",javascript,content
115,363445,"exercises/easy/ex2-type-checker.js",224,2,"",javascript,content
116,363624,"exercises/easy/ex2-type-checker.js",223,1,"",javascript,content
117,363776,"exercises/easy/ex2-type-checker.js",222,1,"",javascript,content
118,363929,"exercises/easy/ex2-type-checker.js",221,1,"",javascript,content
119,364061,"exercises/easy/ex2-type-checker.js",220,1,"",javascript,content
120,364242,"exercises/easy/ex2-type-checker.js",219,1,"",javascript,content
121,364400,"exercises/easy/ex2-type-checker.js",218,1,"",javascript,content
122,364591,"exercises/easy/ex2-type-checker.js",217,1,"",javascript,content
123,364777,"exercises/easy/ex2-type-checker.js",216,1,"",javascript,content
124,365581,"exercises/easy/ex2-type-checker.js",216,0,"o",javascript,content
125,365812,"exercises/easy/ex2-type-checker.js",217,0,"b",javascript,content
126,365891,"exercises/easy/ex2-type-checker.js",218,0,"j",javascript,content
127,366079,"exercises/easy/ex2-type-checker.js",219,0,"e",javascript,content
128,366215,"exercises/easy/ex2-type-checker.js",220,0,"c",javascript,content
129,366607,"exercises/easy/ex2-type-checker.js",221,0,"t",javascript,content
130,367021,"exercises/easy/ex2-type-checker.js",222,0," ",javascript,content
131,369654,"exercises/easy/ex2-type-checker.js",223,0,"=",javascript,content
132,370260,"exercises/easy/ex2-type-checker.js",224,0," ",javascript,content
133,374057,"exercises/easy/ex2-type-checker.js",225,0,"{}",javascript,content
134,375793,"exercises/easy/ex2-type-checker.js",227,0,";",javascript,content
135,390510,"exercises/easy/ex2-type-checker.js",228,0,"\n  ",javascript,content
136,391159,"exercises/easy/ex2-type-checker.js",231,0,"c",javascript,content
137,391282,"exercises/easy/ex2-type-checker.js",232,0,"o",javascript,content
138,391543,"exercises/easy/ex2-type-checker.js",233,0,"n",javascript,content
139,391741,"exercises/easy/ex2-type-checker.js",234,0,"s",javascript,content
140,391943,"exercises/easy/ex2-type-checker.js",235,0,"t",javascript,content
141,393976,"exercises/easy/ex2-type-checker.js",236,0," ",javascript,content
142,394127,"exercises/easy/ex2-type-checker.js",237,0,"a",javascript,content
143,394273,"exercises/easy/ex2-type-checker.js",238,0,"r",javascript,content
144,394390,"exercises/easy/ex2-type-checker.js",239,0,"r",javascript,content
145,394493,"exercises/easy/ex2-type-checker.js",240,0,"a",javascript,content
146,394773,"exercises/easy/ex2-type-checker.js",241,0,"y",javascript,content
147,395096,"exercises/easy/ex2-type-checker.js",242,0," ",javascript,content
148,396334,"exercises/easy/ex2-type-checker.js",243,0,"=",javascript,content
149,397452,"exercises/easy/ex2-type-checker.js",244,0," ",javascript,content
150,399014,"exercises/easy/ex2-type-checker.js",245,0,"{}",javascript,content
151,399400,"exercises/easy/ex2-type-checker.js",246,0,"a",javascript,content
152,399548,"exercises/easy/ex2-type-checker.js",247,0,"r",javascript,content
153,399746,"exercises/easy/ex2-type-checker.js",248,0,"r",javascript,content
154,400174,"exercises/easy/ex2-type-checker.js",249,0,"a",javascript,content
155,401160,"exercises/easy/ex2-type-checker.js",249,1,"",javascript,content
156,401329,"exercises/easy/ex2-type-checker.js",248,1,"",javascript,content
157,401506,"exercises/easy/ex2-type-checker.js",247,1,"",javascript,content
158,401655,"exercises/easy/ex2-type-checker.js",246,1,"",javascript,content
159,402076,"exercises/easy/ex2-type-checker.js",246,0,"o",javascript,content
160,402270,"exercises/easy/ex2-type-checker.js",247,0,"n",javascript,content
161,402340,"exercises/easy/ex2-type-checker.js",248,0,"e",javascript,content
162,402493,"exercises/easy/ex2-type-checker.js",249,0,",",javascript,content
163,402839,"exercises/easy/ex2-type-checker.js",250,0," ",javascript,content
164,403423,"exercises/easy/ex2-type-checker.js",251,0,"t",javascript,content
165,403541,"exercises/easy/ex2-type-checker.js",252,0,"w",javascript,content
166,403581,"exercises/easy/ex2-type-checker.js",253,0,"o",javascript,content
167,405023,"exercises/easy/ex2-type-checker.js",255,0,"\n  ",javascript,content
168,406005,"exercises/easy/ex2-type-checker.js",258,0,"c",javascript,content
169,406125,"exercises/easy/ex2-type-checker.js",259,0,"o",javascript,content
170,406440,"exercises/easy/ex2-type-checker.js",260,0,"n",javascript,content
171,406646,"exercises/easy/ex2-type-checker.js",261,0,"s",javascript,content
172,407040,"exercises/easy/ex2-type-checker.js",262,0,"t",javascript,content
173,407692,"exercises/easy/ex2-type-checker.js",263,0," ",javascript,content
174,411574,"exercises/easy/ex2-type-checker.js",264,0,"s",javascript,content
175,411759,"exercises/easy/ex2-type-checker.js",265,0,"t",javascript,content
176,411906,"exercises/easy/ex2-type-checker.js",266,0,"r",javascript,content
177,411975,"exercises/easy/ex2-type-checker.js",267,0,"i",javascript,content
178,412208,"exercises/easy/ex2-type-checker.js",268,0,"n",javascript,content
179,412557,"exercises/easy/ex2-type-checker.js",269,0,"g",javascript,content
180,414054,"exercises/easy/ex2-type-checker.js",270,0," ",javascript,content
181,414392,"exercises/easy/ex2-type-checker.js",271,0,"=",javascript,content
182,414492,"exercises/easy/ex2-type-checker.js",272,0," ",javascript,content
183,415564,"exercises/easy/ex2-type-checker.js",273,0,"""""",javascript,content
184,416921,"exercises/easy/ex2-type-checker.js",274,0,"s",javascript,content
185,417073,"exercises/easy/ex2-type-checker.js",275,0,"t",javascript,content
186,417213,"exercises/easy/ex2-type-checker.js",276,0,"r",javascript,content
187,417257,"exercises/easy/ex2-type-checker.js",277,0,"i",javascript,content
188,417424,"exercises/easy/ex2-type-checker.js",278,0,"n",javascript,content
189,417474,"exercises/easy/ex2-type-checker.js",279,0,"g",javascript,content
190,418505,"exercises/easy/ex2-type-checker.js",280,0,"'",javascript,content
191,419623,"exercises/easy/ex2-type-checker.js",280,1,"",javascript,content
192,419909,"exercises/easy/ex2-type-checker.js",280,1,"""",javascript,content
193,420908,"exercises/easy/ex2-type-checker.js",281,0,";",javascript,content
194,422274,"exercises/easy/ex2-type-checker.js",255,0,";",javascript,content
195,424766,"exercises/easy/ex2-type-checker.js",284,0,"  ",javascript,content
196,426351,"exercises/easy/ex2-type-checker.js",286,0,"c",javascript,content
197,426978,"exercises/easy/ex2-type-checker.js",287,0,"o",javascript,content
198,427192,"exercises/easy/ex2-type-checker.js",288,0,"n",javascript,content
199,427376,"exercises/easy/ex2-type-checker.js",289,0,"s",javascript,content
200,427697,"exercises/easy/ex2-type-checker.js",290,0,"t",javascript,content
201,427807,"exercises/easy/ex2-type-checker.js",291,0," ",javascript,content
202,427872,"exercises/easy/ex2-type-checker.js",292,0,"n",javascript,content
203,428058,"exercises/easy/ex2-type-checker.js",293,0,"u",javascript,content
204,428260,"exercises/easy/ex2-type-checker.js",294,0,"m",javascript,content
205,428498,"exercises/easy/ex2-type-checker.js",295,0,"b",javascript,content
206,428699,"exercises/easy/ex2-type-checker.js",296,0,"e",javascript,content
207,429039,"exercises/easy/ex2-type-checker.js",297,0,"r",javascript,content
208,429863,"exercises/easy/ex2-type-checker.js",298,0," ",javascript,content
209,430389,"exercises/easy/ex2-type-checker.js",299,0,"=",javascript,content
210,430472,"exercises/easy/ex2-type-checker.js",300,0," ",javascript,content
211,430915,"exercises/easy/ex2-type-checker.js",301,0,"2",javascript,content
212,432343,"exercises/easy/ex2-type-checker.js",301,1,"",javascript,content
213,432434,"exercises/easy/ex2-type-checker.js",301,0,"1",javascript,content
214,433073,"exercises/easy/ex2-type-checker.js",302,0,";",javascript,content
215,433406,"exercises/easy/ex2-type-checker.js",303,0,"\n  ",javascript,content
216,434005,"exercises/easy/ex2-type-checker.js",306,0,"c",javascript,content
217,434079,"exercises/easy/ex2-type-checker.js",307,0,"o",javascript,content
218,434263,"exercises/easy/ex2-type-checker.js",308,0,"n",javascript,content
219,434359,"exercises/easy/ex2-type-checker.js",309,0,"s",javascript,content
220,435119,"exercises/easy/ex2-type-checker.js",310,0,"t",javascript,content
221,435243,"exercises/easy/ex2-type-checker.js",311,0," ",javascript,content
222,435443,"exercises/easy/ex2-type-checker.js",312,0,"b",javascript,content
223,435557,"exercises/easy/ex2-type-checker.js",313,0,"o",javascript,content
224,435749,"exercises/easy/ex2-type-checker.js",314,0,"o",javascript,content
225,436322,"exercises/easy/ex2-type-checker.js",315,0,"l",javascript,content
226,436509,"exercises/easy/ex2-type-checker.js",316,0,"e",javascript,content
227,436747,"exercises/easy/ex2-type-checker.js",317,0,"a",javascript,content
228,436946,"exercises/easy/ex2-type-checker.js",318,0,"n",javascript,content
229,437241,"exercises/easy/ex2-type-checker.js",319,0," ",javascript,content
230,437656,"exercises/easy/ex2-type-checker.js",320,0,"=",javascript,content
231,438554,"exercises/easy/ex2-type-checker.js",321,0," ",javascript,content
232,438758,"exercises/easy/ex2-type-checker.js",322,0,"t",javascript,content
233,438927,"exercises/easy/ex2-type-checker.js",323,0,"r",javascript,content
234,439006,"exercises/easy/ex2-type-checker.js",324,0,"u",javascript,content
235,439159,"exercises/easy/ex2-type-checker.js",325,0,"e",javascript,content
236,439362,"exercises/easy/ex2-type-checker.js",322,4,"true",javascript,content
236,439362,"exercises/easy/ex2-type-checker.js",322,4,"true",javascript,content
237,439362,"exercises/easy/ex2-type-checker.js",326,0,";",javascript,content
238,440761,"exercises/easy/ex2-type-checker.js",327,0,"\n  ",javascript,content
239,443240,"exercises/easy/ex2-type-checker.js",330,0,"c",javascript,content
240,443322,"exercises/easy/ex2-type-checker.js",331,0,"o",javascript,content
241,443525,"exercises/easy/ex2-type-checker.js",332,0,"n",javascript,content
242,443760,"exercises/easy/ex2-type-checker.js",333,0,"s",javascript,content
243,444091,"exercises/easy/ex2-type-checker.js",334,0,"t",javascript,content
244,444330,"exercises/easy/ex2-type-checker.js",335,0," ",javascript,content
245,444771,"exercises/easy/ex2-type-checker.js",336,0,"N",javascript,content
246,445044,"exercises/easy/ex2-type-checker.js",337,0,"u",javascript,content
247,445380,"exercises/easy/ex2-type-checker.js",337,1,"",javascript,content
248,445506,"exercises/easy/ex2-type-checker.js",336,1,"",javascript,content
249,445792,"exercises/easy/ex2-type-checker.js",336,0,"n",javascript,content
250,446257,"exercises/easy/ex2-type-checker.js",337,0,"u",javascript,content
251,446540,"exercises/easy/ex2-type-checker.js",338,0,"l",javascript,content
252,446715,"exercises/easy/ex2-type-checker.js",339,0,"l",javascript,content
253,447132,"exercises/easy/ex2-type-checker.js",340,0," ",javascript,content
254,448531,"exercises/easy/ex2-type-checker.js",341,0,"=",javascript,content
255,448706,"exercises/easy/ex2-type-checker.js",342,0," ",javascript,content
256,449079,"exercises/easy/ex2-type-checker.js",343,0,"n",javascript,content
257,449273,"exercises/easy/ex2-type-checker.js",344,0,"u",javascript,content
257,449273,"exercises/easy/ex2-type-checker.js",344,0,"u",javascript,content
258,449274,"exercises/easy/ex2-type-checker.js",345,0,"i",javascript,content
259,449643,"exercises/easy/ex2-type-checker.js",345,1,"",javascript,content
260,449840,"exercises/easy/ex2-type-checker.js",345,0,"l",javascript,content
261,449989,"exercises/easy/ex2-type-checker.js",346,0,"l",javascript,content
262,450223,"exercises/easy/ex2-type-checker.js",343,4,"null",javascript,content
262,450223,"exercises/easy/ex2-type-checker.js",343,4,"null",javascript,content
263,450224,"exercises/easy/ex2-type-checker.js",347,0,";",javascript,content
264,450774,"exercises/easy/ex2-type-checker.js",348,0,"\n  ",javascript,content
265,456536,"exercises/easy/ex2-type-checker.js",349,2,"",javascript,content
265,456536,"exercises/easy/ex2-type-checker.js",349,2,"",javascript,content
266,456536,"exercises/easy/ex2-type-checker.js",340,0,"V",javascript,content
267,456661,"exercises/easy/ex2-type-checker.js",341,0,"a",javascript,content
268,456765,"exercises/easy/ex2-type-checker.js",342,0,"l",javascript,content
269,457042,"exercises/easy/ex2-type-checker.js",343,0,"u",javascript,content
270,457174,"exercises/easy/ex2-type-checker.js",344,0,"e",javascript,content
271,461039,"exercises/easy/ex2-type-checker.js",354,0,"  ",javascript,content
272,464811,"exercises/easy/ex2-type-checker.js",356,0,"c",javascript,content
273,464904,"exercises/easy/ex2-type-checker.js",357,0,"o",javascript,content
274,465146,"exercises/easy/ex2-type-checker.js",358,0,"n",javascript,content
275,465281,"exercises/easy/ex2-type-checker.js",359,0,"s",javascript,content
276,465492,"exercises/easy/ex2-type-checker.js",360,0,"t",javascript,content
277,465573,"exercises/easy/ex2-type-checker.js",361,0," ",javascript,content
278,465707,"exercises/easy/ex2-type-checker.js",362,0,"u",javascript,content
279,465940,"exercises/easy/ex2-type-checker.js",363,0,"n",javascript,content
280,466123,"exercises/easy/ex2-type-checker.js",364,0,"d",javascript,content
281,466356,"exercises/easy/ex2-type-checker.js",365,0,"e",javascript,content
282,466542,"exercises/easy/ex2-type-checker.js",366,0,"f",javascript,content
283,466608,"exercises/easy/ex2-type-checker.js",367,0,"i",javascript,content
284,466773,"exercises/easy/ex2-type-checker.js",368,0,"n",javascript,content
285,467108,"exercises/easy/ex2-type-checker.js",369,0,"d",javascript,content
286,467910,"exercises/easy/ex2-type-checker.js",369,1,"",javascript,content
287,468390,"exercises/easy/ex2-type-checker.js",369,0,"e",javascript,content
288,468651,"exercises/easy/ex2-type-checker.js",370,0,"d",javascript,content
289,468957,"exercises/easy/ex2-type-checker.js",371,0," ",javascript,content
290,469241,"exercises/easy/ex2-type-checker.js",371,1,"",javascript,content
291,469358,"exercises/easy/ex2-type-checker.js",371,0,"V",javascript,content
292,469543,"exercises/easy/ex2-type-checker.js",372,0,"a",javascript,content
293,469624,"exercises/easy/ex2-type-checker.js",373,0,"l",javascript,content
294,469849,"exercises/easy/ex2-type-checker.js",374,0,"u",javascript,content
295,470022,"exercises/easy/ex2-type-checker.js",375,0,"e",javascript,content
296,470089,"exercises/easy/ex2-type-checker.js",376,0," ",javascript,content
297,470273,"exercises/easy/ex2-type-checker.js",377,0,"=",javascript,content
298,470494,"exercises/easy/ex2-type-checker.js",378,0," ",javascript,content
299,470660,"exercises/easy/ex2-type-checker.js",379,0,"i",javascript,content
300,471031,"exercises/easy/ex2-type-checker.js",379,1,"",javascript,content
301,471240,"exercises/easy/ex2-type-checker.js",379,0,"u",javascript,content
302,471423,"exercises/easy/ex2-type-checker.js",380,0,"n",javascript,content
303,471645,"exercises/easy/ex2-type-checker.js",381,0,"d",javascript,content
304,471826,"exercises/easy/ex2-type-checker.js",382,0,"e",javascript,content
305,471976,"exercises/easy/ex2-type-checker.js",383,0,"f",javascript,content
306,472031,"exercises/easy/ex2-type-checker.js",384,0,"i",javascript,content
307,472208,"exercises/easy/ex2-type-checker.js",385,0,"n",javascript,content
308,472965,"exercises/easy/ex2-type-checker.js",386,0,"e",javascript,content
309,473158,"exercises/easy/ex2-type-checker.js",387,0,"d",javascript,content
310,473263,"exercises/easy/ex2-type-checker.js",379,9,"undefined",javascript,content
310,473263,"exercises/easy/ex2-type-checker.js",379,9,"undefined",javascript,content
311,473264,"exercises/easy/ex2-type-checker.js",388,0,";",javascript,content
312,474260,"exercises/easy/ex2-type-checker.js",389,0,"\n  ",javascript,content
313,476085,"exercises/easy/ex2-type-checker.js",392,0,"c",javascript,content
314,476180,"exercises/easy/ex2-type-checker.js",393,0,"o",javascript,content
315,476403,"exercises/easy/ex2-type-checker.js",394,0,"n",javascript,content
316,476494,"exercises/easy/ex2-type-checker.js",395,0,"s",javascript,content
317,476844,"exercises/easy/ex2-type-checker.js",396,0,"t",javascript,content
318,477240,"exercises/easy/ex2-type-checker.js",397,0," ",javascript,content
319,477725,"exercises/easy/ex2-type-checker.js",398,0,"n",javascript,content
320,478982,"exercises/easy/ex2-type-checker.js",399,0,"o",javascript,content
321,479594,"exercises/easy/ex2-type-checker.js",399,1,"",javascript,content
322,479791,"exercises/easy/ex2-type-checker.js",399,0,"a",javascript,content
323,479909,"exercises/easy/ex2-type-checker.js",400,0,"n",javascript,content
324,480560,"exercises/easy/ex2-type-checker.js",400,1,"",javascript,content
325,480733,"exercises/easy/ex2-type-checker.js",399,1,"",javascript,content
326,481526,"exercises/easy/ex2-type-checker.js",398,1,"",javascript,content
327,482008,"exercises/easy/ex2-type-checker.js",398,0,"N",javascript,content
328,482342,"exercises/easy/ex2-type-checker.js",398,1,"",javascript,content
329,482540,"exercises/easy/ex2-type-checker.js",398,0,"n",javascript,content
330,482653,"exercises/easy/ex2-type-checker.js",399,0,"a",javascript,content
331,482810,"exercises/easy/ex2-type-checker.js",400,0,"n",javascript,content
332,483779,"exercises/easy/ex2-type-checker.js",401,0,"V",javascript,content
333,483925,"exercises/easy/ex2-type-checker.js",402,0,"a",javascript,content
334,484323,"exercises/easy/ex2-type-checker.js",403,0,"l",javascript,content
335,484525,"exercises/easy/ex2-type-checker.js",404,0,"u",javascript,content
336,484758,"exercises/easy/ex2-type-checker.js",405,0,"e",javascript,content
337,484909,"exercises/easy/ex2-type-checker.js",406,0," ",javascript,content
338,485543,"exercises/easy/ex2-type-checker.js",407,0,"=",javascript,content
339,485667,"exercises/easy/ex2-type-checker.js",408,0," ",javascript,content
340,486043,"exercises/easy/ex2-type-checker.js",409,0,"n",javascript,content
341,486977,"exercises/easy/ex2-type-checker.js",409,1,"",javascript,content
342,487340,"exercises/easy/ex2-type-checker.js",409,0,"N",javascript,content
343,487864,"exercises/easy/ex2-type-checker.js",410,0,"a",javascript,content
344,488320,"exercises/easy/ex2-type-checker.js",411,0,"N",javascript,content
345,490720,"exercises/easy/ex2-type-checker.js",409,3,"NaN",javascript,content
345,490720,"exercises/easy/ex2-type-checker.js",409,3,"NaN",javascript,content
346,490722,"exercises/easy/ex2-type-checker.js",412,0,";",javascript,content
347,505162,"exercises/easy/ex2-type-checker.js",416,0,"\n",javascript,content
348,505594,"exercises/easy/ex2-type-checker.js",417,0,"\n",javascript,content
349,508014,"exercises/easy/ex2-type-checker.js",414,0," ",javascript,content
350,508278,"exercises/easy/ex2-type-checker.js",415,0," ",javascript,content
351,508743,"exercises/easy/ex2-type-checker.js",416,0,"r",javascript,content
352,508929,"exercises/easy/ex2-type-checker.js",417,0,"e",javascript,content
353,509274,"exercises/easy/ex2-type-checker.js",418,0,"t",javascript,content
354,509363,"exercises/easy/ex2-type-checker.js",419,0,"y",javascript,content
